Ticker,Company,Price
FMFC,Kandal M Venture Limited (XNAS:FMFC),$0.37 
GTBP,"GT BIOPHARMA, INC. (XNAS:GTBP)",$0.37 
SAFX,"XCF GLOBAL, INC. (XNAS:SAFX)",$0.37 
AMOD,"ALPHA MODUS HOLDINGS, INC. (XNAS:AMOD)",$0.39 
CLGN,COLLPLANT BIOTECHNOLOGIES LTD (XNAS:CLGN),$0.39 
GMEX,FITELL CORPORATION (XNAS:GMEX),$0.39 
GOSS,"GOSSAMER BIO, INC. (XNAS:GOSS)",$0.39 
IZM,ICZOOM Group Inc (XNAS:IZM),$0.39 
MAPS,"WM TECHNOLOGY, INC (XNAS:MAPS)",$0.39 
MRNO,MURANO GLOBAL INVESTMENTS PLC (XNAS:MRNO),$0.39 
NTCL,NetClass Technology Inc (XNAS:NTCL),$0.39 
HCWB,HCW Biologics Inc (XNAS:HCWB),$0.40 
NXXT,"NEXTNRG, INC. (XNAS:NXXT)",$0.40 
WYHG,WING YIP FOOD HOLDINGS GROUP LIMITED (XNAS:WYHG),$0.40 
AGRZ,AGROZ INC. (XNAS:AGRZ),$0.41 
FEMY,FEMASYS INC. (XNAS:FEMY),$0.41 
JAGX,"JAGUAR HEALTH, INC. (XNAS:JAGX)",$0.41 
NCPL,NETCAPITAL INC. (XNAS:NCPL),$0.41 
SCNX,"SCIENTURE HOLDINGS, INC. (XNAS:SCNX)",$0.41 
ALBT,AVALON GLOBOCARE CORP. (XNAS:ALBT),$0.42 
CAPS,CAPSTONE HOLDING CORP. (XNAS:CAPS),$0.42 
FFAI,FARADAY FUTURE INTELLIGENT ELECTRIC INC (XNAS:FFAI),$0.42 
POM,POMDOCTOR LIMITED (XNAS:POM),$0.42 
SELX,SEMILUX INTERNATIONAL LTD. (XNAS:SELX),$0.42 
THH,TryHard Holdings Ltd (XNAS:THH),$0.42 
ENSC,"ENSYSCE BIOSCIENCES, INC. (XNAS:ENSC)",$0.43 
CURX,CURANEX PHARMACEUTICALS INC (XNAS:CURX),$0.44 
DEVS,DevvStream Corp. (XNAS:DEVS),$0.44 
SNYR,SYNERGY CHC CORP. (XNAS:SNYR),$0.44 
VSTD,VESTAND INC. (XNAS:VSTD),$0.44 
AIOS,AIOS Tech Inc. (XNAS:AIOS),$0.45 
BANL,CBL International Limited (XNAS:BANL),$0.45 
JUNS,"JUPITER NEUROSCIENCES, INC. (XNAS:JUNS)",$0.45 
MGRX,"MANGOCEUTICALS, INC. (XNAS:MGRX)",$0.45 
ORIS,ORIENTAL RISE HOLDINGS LIMITED (XNAS:ORIS),$0.45 
MYPS,"PLAYSTUDIOS, INC. (XNAS:MYPS)",$0.46 
ARAY,ACCURAY INCORPORATED (XNAS:ARAY),$0.47 
NXL,"NEXALIN TECHNOLOGY, INC. (XNAS:NXL)",$0.47 
GRML,GREENLAND MINES LTD. (XNAS:GRML),$0.48 
SGLY,Singularity Future Technology Ltd. (XNAS:SGLY),$0.48 
SOPA,SOCIETY PASS INCORPORATED. (XNAS:SOPA),$0.49 
WXM,WF International Limited (XNAS:WXM),$0.49 
OLB,"THE OLB GROUP, INC. (XNAS:OLB)",$0.50 
RITR,Reitar Logtech Holdings Limited (XNAS:RITR),$0.50 
ZTEK,ZENTEK LTD. (XNAS:ZTEK),$0.50 
BNBX,BNB PLUS CORP. (XNAS:BNBX),$0.52 
DGNX,DIGINEX LIMITED (XNAS:DGNX),$0.52 
DKI,DARKIRIS INC. (XNAS:DKI),$0.52 
QUCY,Mainz Biomed NV (XNAS:QUCY),$0.52 
WETO,Wetour Robotics Limited (XNAS:WETO),$0.52 
GCL,GCL Global Holdings Ltd (XNAS:GCL),$0.53 
IMTE,INTEGRATED MEDIA TECHNOLOGY LIMITED (XNAS:IMTE),$0.53 
NVVE,NUVVE HOLDING CORP. (XNAS:NVVE),$0.53 
GFAI,"GUARDFORCE AI CO., LIMITED (XNAS:GFAI)",$0.54 
MSGY,Masonglory Limited (XNAS:MSGY),$0.54 
NAMI,Jinxin Technology Holding Company (XNAS:NAMI),$0.54 
SCNI,SCINAI IMMUNOTHERAPEUTICS LTD (XNAS:SCNI),$0.54 
XAIR,"BEYOND AIR, INC. (XNAS:XAIR)",$0.54 
AVX,AVAX One Technology Ltd. (XNAS:AVX),$0.55 
CAN,Canaan Inc (XNAS:CAN),$0.55 
CCHH,CCH Holdings Ltd (XNAS:CCHH),$0.55 
SOBR,"SOBR Safe, Inc (XNAS:SOBR)",$0.55 
TOMZ,"TOMI ENVIRONMENTAL SOLUTIONS, INC. (XNAS:TOMZ)",$0.55 
AGAE,ALLIED GAMING & ENTERTAINMENT INC. (XNAS:AGAE),$0.56 
BNZI,"BANZAI INTERNATIONAL, INC. (XNAS:BNZI)",$0.56 
CCTG,CCSC TECHNOLOGY INTERNATIONAL HOLDINGS LIMITED (XNAS:CCTG),$0.56 
ETS,Elite Express Holding Inc (XNAS:ETS),$0.57 
MWYN,"MARWYNN HOLDINGS, INC. (XNAS:MWYN)",$0.57 
REE,REE AUTOMOTIVE LTD (XNAS:REE),$0.57 
SILO,"SILO PHARMA, INC. (XNAS:SILO)",$0.57 
CUE,"CUE BIOPHARMA, INC. (XNAS:CUE)",$0.58 
EDBL,EDIBLE GARDEN AG INCORPORATED (XNAS:EDBL),$0.58 
ABVE,Above Food Ingredients Inc. (XNAS:ABVE),$0.59 
GGRP,"THE GLIMPSE GROUP, INC. (XNAS:GGRP)",$0.59 
GUTS,"Fractyl Health, Inc. (XNAS:GUTS)",$0.59 
IINN,INSPIRA TECHNOLOGIES OXY B.H.N LTD (XNAS:IINN),$0.59 
IMMP,IMMUTEP LIMITED (XNAS:IMMP),$0.59 
JBDI,JBDI Holdings Limited (XNAS:JBDI),$0.59 
OSRH,"OSR HOLDINGS, INC. (XNAS:OSRH)",$0.59 
SGRP,"SPAR GROUP, INC. (XNAS:SGRP)",$0.59 
CSAI,"CLOUDASTRUCTURE, INC. (XNAS:CSAI)",$0.60 
DFNS,T3 DEFENSE INC (XNAS:DFNS),$0.60 
LOBO,LOBO TECHNOLOGIES LTD. (XNAS:LOBO),$0.60 
OBAI,"OUR BOND, INC. (XNAS:OBAI)",$0.60 
VTGN,"VISTAGEN THERAPEUTICS, INC. (XNAS:VTGN)",$0.60 
CALC,"CALCIMEDICA, INC. (XNAS:CALC)",$0.61 
CRIS,"CURIS, INC. (XNAS:CRIS)",$0.61 
ELBM,Electra Battery Materials Corporation (XNAS:ELBM),$0.61 
GAME,"GAMESQUARE HOLDINGS, INC. (XNAS:GAME)",$0.61 
HXHX,Haoxin Holdings Limited (XNAS:HXHX),$0.61 
SMXT,"SOLARMAX TECHNOLOGY, INC. (XNAS:SMXT)",$0.61 
YXT,YXT.COM GROUP HOLDING Ltd (XNAS:YXT),$0.61 
BMGL,Basel Medical Group Ltd (XNAS:BMGL),$0.62 
GEMG,LeverageShs 2X Lg GEMI D (XNAS:GEMG),$0.62 
OCG,Oriental Culture Holding LTD (XNAS:OCG),$0.62 
TELA,"TELA BIO, INC. (XNAS:TELA)",$0.62 
AERT,"Aeries Technology, Inc. (XNAS:AERT)",$0.63 
BKYI,"BIO-KEY INTERNATIONAL, INC. (XNAS:BKYI)",$0.63 
BRNS,BARINTHUS BIOTHERAPEUTICS PLC (XNAS:BRNS),$0.63 
COOT,AUSTRALIAN OILSEEDS HOLDINGS LIMITED (XNAS:COOT),$0.63 
CREG,SMART POWERR CORP (XNAS:CREG),$0.63 
CTSO,CYTOSORBENTS CORPORATION (XNAS:CTSO),$0.63 
LGCB,Linkage Global Inc (XNAS:LGCB),$0.63 
SUUN,POWERBANK CORPORATION (XNAS:SUUN),$0.63 
BIOX,Bioceres Crop Solutions Corp. (XNAS:BIOX),$0.64 
MYSZ,"MY SIZE, INC. (XNAS:MYSZ)",$0.64 
PFSA,"PROFUSA, INC. (XNAS:PFSA)",$0.64 
FBGL,FBS Global Limited (XNAS:FBGL),$0.65 
GSUN,Golden Sun Technology Group Limited (XNAS:GSUN),$0.65 
INEO,INNEOVA Holdings Limited (XNAS:INEO),$0.65 
INVZ,INNOVIZ TECHNOLOGIES LTD (XNAS:INVZ),$0.65 
NFE,NEW FORTRESS ENERGY INC. (XNAS:NFE),$0.65 
NXGL,"NEXGEL, INC. (XNAS:NXGL)",$0.65 
VYNE,VYNE THERAPEUTICS INC. (XNAS:VYNE),$0.65 
NIXX,"NIXXY, INC. (XNAS:NIXX)",$0.66 
PRPL,"PURPLE INNOVATION, INC. (XNAS:PRPL)",$0.66 
VEEA,"VEEA, INC. (XNAS:VEEA)",$0.66 
GLMD,GALMED PHARMACEUTICALS LTD (XNAS:GLMD),$0.67 
OLOX,OLENOX INDUSTRIES INC. (XNAS:OLOX),$0.67 
UPLD,"UPLAND SOFTWARE, INC. (XNAS:UPLD)",$0.67 
MVIS,"MICROVISION, INC. (XNAS:MVIS)",$0.68 
PMEC,Primech Holdings Ltd (XNAS:PMEC),$0.68 
AEHL,Antelope Enterprise Holdings Ltd (XNAS:AEHL),$0.69 
COCH,"ENVOY MEDICAL, INC. (XNAS:COCH)",$0.69 
SEGG,SPORTS ENTERTAINMENT GAMING GLOBAL CORPORATION (XNAS:SEGG),$0.69 
SURG,"SURGEPAYS, INC. (XNAS:SURG)",$0.69 
HKPD,"Cellyan Biotechnology Co., Ltd (XNAS:HKPD)",$0.70 
HUMA,"HUMACYTE, INC (XNAS:HUMA)",$0.70 
NRSN,NEUROSENSE THERAPEUTICS LTD (XNAS:NRSN),$0.70 
PRHI,"PRESURANCE HOLDINGS, INC. (XNAS:PRHI)",$0.70 
VHUB,VENHUB GLOBAL INC. (XNAS:VHUB),$0.70 
CCG,CHECHE GROUP INC. (XNAS:CCG),$0.71 
DRCT,"DIRECT DIGITAL HOLDINGS, INC. (XNAS:DRCT)",$0.71 
GNTA,Genenta Science SPA (XNAS:GNTA),$0.71 
KTTA,PASITHEA THERAPEUTICS CORP. (XNAS:KTTA),$0.71 
NIPG,NIP Group Inc. (XNAS:NIPG),$0.71 
OFAL,OFA Group (XNAS:OFAL),$0.71 
TRIB,TRINITY BIOTECH PUBLIC LIMITED COMPANY (XNAS:TRIB),$0.71 
AIIO,Robo.ai Inc. (XNAS:AIIO),$0.72 
ATER,"ATERIAN, INC (XNAS:ATER)",$0.72 
GAUZ,GAUZY LTD (XNAS:GAUZ),$0.72 
GTEC,Greenland Technologies Holding Corporation (XNAS:GTEC),$0.72 
XPON,EXPION360 INC. (XNAS:XPON),$0.72 
BZFD,"BUZZFEED, INC (XNAS:BZFD)",$0.73 
GCTK,"GLUCOTRACK, INC. (XNAS:GCTK)",$0.73 
GELS,GELTEQ LIMITED (XNAS:GELS),$0.73 
ONCO,"ONCONETIX, INC. (XNAS:ONCO)",$0.73 
SMSI,"SMITH MICRO SOFTWARE, INC. (XNAS:SMSI)",$0.73 
TBH,"BRAG HOUSE HOLDINGS, INC. (XNAS:TBH)",$0.73 
DCGO,DocGo Inc. (XNAS:DCGO),$0.74 
PRZO,PARAZERO TECHNOLOGIES LTD (XNAS:PRZO),$0.74 
RCT,REDCLOUD HOLDINGS PLC (XNAS:RCT),$0.74 
TNYA,"TENAYA THERAPEUTICS, INC. (XNAS:TNYA)",$0.74 
KNDI,"KANDI TECHNOLOGIES GROUP, INC. (XNAS:KNDI)",$0.75 
TEAD,TEADS HOLDING CO. (XNAS:TEAD),$0.75 
DXLG,"DESTINATION XL GROUP, INC. (XNAS:DXLG)",$0.76 
CNET,ZW DATA ACTION TECHNOLOGIES INC. (XNAS:CNET),$0.77 
DVLT,DATAVAULT AI INC. (XNAS:DVLT),$0.77 
MBIO,"MUSTANG BIO, INC. (XNAS:MBIO)",$0.77 
SNAL,"SNAIL, INC. (XNAS:SNAL)",$0.77 
ARBE,ARBE ROBOTICS LTD (XNAS:ARBE),$0.78 
LSH,LAKESIDE HOLDINGS LIMITED (XNAS:LSH),$0.78 
PMCB,"PHARMACYTE BIOTECH, INC. (XNAS:PMCB)",$0.78 
ZBAO,Zhibao Technology Inc. (XNAS:ZBAO),$0.78 
CISS,C3is Inc. (XNAS:CISS),$0.79 
CNEY,CN Energy Group Inc (XNAS:CNEY),$0.79 
HMR,Heidmar Maritime Holdings Corp. (XNAS:HMR),$0.79 
INM,INMED PHARMACEUTICALS INC. (XNAS:INM),$0.79 
NVX,NOVONIX LIMITED (XNAS:NVX),$0.79 
TLPH,"TALPHERA, INC. (XNAS:TLPH)",$0.79 
ABLV,Able View Global Inc. (XNAS:ABLV),$0.80 
EPOW,E-Power Inc. (XNAS:EPOW),$0.80 
HOTH,"HOTH THERAPEUTICS, INC. (XNAS:HOTH)",$0.80 
DEFT,DeFi Technologies Inc (XNAS:DEFT),$0.81 
EVGN,EVOGENE LTD (XNAS:EVGN),$0.81 
INCR,INTERCURE LTD. (XNAS:INCR),$0.81 
SLMT,BRERA HOLDINGS PUBLIC LIMITED COMPANY (XNAS:SLMT),$0.81 
TNON,"TENON MEDICAL, INC. (XNAS:TNON)",$0.81 
CBAT,"CBAK ENERGY TECHNOLOGY, INC. (XNAS:CBAT)",$0.82 
CETY,"CLEAN ENERGY TECHNOLOGIES, INC. (XNAS:CETY)",$0.82 
VSA,VisionSys AI Inc (XNAS:VSA),$0.82 
BLNK,BLINK CHARGING CO. (XNAS:BLNK),$0.83 
DLXY,DELIXY HOLDINGS LIMITED (XNAS:DLXY),$0.83 
DYAI,"DYADIC INTERNATIONAL, INC. (XNAS:DYAI)",$0.83 
USEG,U.S. ENERGY CORP. (XNAS:USEG),$0.83 
ATYR,"ATYR PHARMA, INC. (XNAS:ATYR)",$0.84 
HIHO,Highway Holdings Limited (XNAS:HIHO),$0.84 
TOP,TOP FINANCIAL GROUP LIMITED (XNAS:TOP),$0.84 
CMND,CLEARMIND MEDICINE INC. (XNAS:CMND),$0.85 
RDHL,REDHILL BIOPHARMA LTD (XNAS:RDHL),$0.85 
SLGB,SMART LOGISTICS GLOBAL LIMITED (XNAS:SLGB),$0.85 
ARAI,ARRIVE AI INC. (XNAS:ARAI),$0.86 
CTXR,"CITIUS PHARMACEUTICALS, INC. (XNAS:CTXR)",$0.86 
CYPH,CYPHERPUNK TECHNOLOGIES INC. (XNAS:CYPH),$0.86 
INTZ,INTRUSION INC. (XNAS:INTZ),$0.86 
LGHL,LION GROUP HOLDING LTD. (XNAS:LGHL),$0.86 
MNDR,MOBILE-HEALTH NETWORK SOLUTIONS (XNAS:MNDR),$0.86 
RMTI,"ROCKWELL MEDICAL, INC. (XNAS:RMTI)",$0.86 
WALD,WALDENCAST PLC (XNAS:WALD),$0.86 
BFRG,"BULLFROG AI HOLDINGS, INC. (XNAS:BFRG)",$0.87 
NCI,Neo-Concept International Group Holdings Limited (XNAS:NCI),$0.87 
VRME,"VERIFYME, INC. (XNAS:VRME)",$0.87 
YHC,LQR HOUSE INC. (XNAS:YHC),$0.87 
EXFY,"EXPENSIFY, INC. (XNAS:EXFY)",$0.88 
FRGT,"Freight Technologies, Inc. (XNAS:FRGT)",$0.88 
IMRN,IMMURON LIMITED (XNAS:IMRN),$0.88 
STAK,STAK Inc (XNAS:STAK),$0.88 
ENLV,ENLIVEX LTD (XNAS:ENLV),$0.89 
MDIA,MEDIACO HOLDING INC. (XNAS:MDIA),$0.89 
MXCT,"MAXCYTE, INC. (XNAS:MXCT)",$0.89 
ONMD,ONEMEDNET CORPORATION (XNAS:ONMD),$0.89 
APM,APTORUM GROUP LIMITED (XNAS:APM),$0.90 
BRLS,BOREALIS FOODS INC. (XNAS:BRLS),$0.90 
CLPS,CLPS Incorporation (XNAS:CLPS),$0.90 
HAIN,"THE HAIN CELESTIAL GROUP, INC. (XNAS:HAIN)",$0.90 
IMUX,"IMMUNIC, INC. (XNAS:IMUX)",$0.90 
NWGL,CL Workshop Group Limited (XNAS:NWGL),$0.90 
RETO,"RETO ECO-SOLUTIONS, INC. (XNAS:RETO)",$0.90 
SFWL,SHENGFENG DEVELOPMENT LIMITED (XNAS:SFWL),$0.90 
SHPH,"SHUTTLE PHARMACEUTICALS HOLDINGS, INC. (XNAS:SHPH)",$0.90 
SKIN,THE BEAUTY HEALTH COMPANY (XNAS:SKIN),$0.90 
SKYE,"SKYE BIOSCIENCE, INC. (XNAS:SKYE)",$0.90 
YYAI,AIRWA INC. (XNAS:YYAI),$0.90 
ZEO,ZEO ENERGY CORP. (XNAS:ZEO),$0.90 
AIXI,Xiao-I Corp (XNAS:AIXI),$0.91 
AGMH,AGM Group Holdings Inc (XNAS:AGMH),$0.92 
OXBR,OXBRIDGE RE HOLDINGS LIMITED (XNAS:OXBR),$0.92 
REKR,"REKOR SYSTEMS, INC. (XNAS:REKR)",$0.92 
SCKT,"SOCKET MOBILE, INC. (XNAS:SCKT)",$0.92 
YDKG,Yueda Digital Holding (XNAS:YDKG),$0.92 
ZYBT,Zhengye Biotechnology Holding Ltd (XNAS:ZYBT),$0.92 
ALTS,ALT5 SIGMA CORPORATION (XNAS:ALTS),$0.93 
BEAT,"HEARTBEAM, INC. (XNAS:BEAT)",$0.93 
HOWL,"WEREWOLF THERAPEUTICS, INC. (XNAS:HOWL)",$0.93 
RVPH,"REVIVA PHARMACEUTICALS HOLDINGS, INC. (XNAS:RVPH)",$0.93 
YOUL,Youlife Group Inc. (XNAS:YOUL),$0.93 
ALPS,Alps Group Inc (XNAS:ALPS),$0.94 
BLIN,"BRIDGELINE DIGITAL, INC. (XNAS:BLIN)",$0.94 
CTOR,"CITIUS ONCOLOGY, INC. (XNAS:CTOR)",$0.94 
HLP,Hongli Group Inc (XNAS:HLP),$0.94 
LAB,STANDARD BIOTOOLS INC. (XNAS:LAB),$0.94 
RPGL,Republic Power Group Limited (XNAS:RPGL),$0.94 
APRE,"APREA THERAPEUTICS, INC. (XNAS:APRE)",$0.95 
FIGG,LeverageShs 2X Lg FIG D (XNAS:FIGG),$0.95 
RANI,Rani Therapeutics Holdings Inc (XNAS:RANI),$0.95 
RCON,"RECON TECHNOLOGY, LTD (XNAS:RCON)",$0.95 
RNXT,"RENOVORX, INC. (XNAS:RNXT)",$0.95 
GMHS,Gamehaus Holdings Inc. (XNAS:GMHS),$0.96 
OMEX,"ODYSSEY MARINE EXPLORATION, INC. (XNAS:OMEX)",$0.96 
PRTS,"CARPARTS.COM, INC. (XNAS:PRTS)",$0.96 
UFG,Uni-Fuels Holdings Limited (XNAS:UFG),$0.96 
YAAS,YOUXIN TECHNOLOGY LTD (XNAS:YAAS),$0.96 
AQB,"AQUABOUNTY TECHNOLOGIES, INC. (XNAS:AQB)",$0.97 
LEXX,LEXARIA BIOSCIENCE CORP. (XNAS:LEXX),$0.97 
REFR,RESEARCH FRONTIERS INCORPORATED (XNAS:REFR),$0.97 
JSPR,"JASPER THERAPEUTICS, INC. (XNAS:JSPR)",$0.98 
ORBS,EIGHTCO HOLDINGS INC (XNAS:ORBS),$0.98 
SHFS,"SHF Holdings, Inc. (XNAS:SHFS)",$0.98 
SLXN,SILEXION THERAPEUTICS CORP (XNAS:SLXN),$0.98 
VSME,VS MEDIA HOLDINGS LIMITED (XNAS:VSME),$0.98 
CDLX,"CARDLYTICS, INC. (XNAS:CDLX)",$0.99 
EDTK,SKILLFUL CRAFTSMAN EDUCATION TECHNOLOGY LIMITED (XNAS:EDTK),$0.99 
SBFM,"Sunshine Biopharma, Inc. (XNAS:SBFM)",$0.99 
GDTC,CytoMed Therapeutics Limited (XNAS:GDTC),$1.00 
GP,GREENPOWER MOTOR COMPANY INC. (XNAS:GP),$1.00 
HKIT,HITEK GLOBAL INC. (XNAS:HKIT),$1.00 
YIBO,Planet Image International Limited (XNAS:YIBO),$1.00 
IPDN,"PROFESSIONAL DIVERSITY NETWORK, INC. (XNAS:IPDN)",$1.01 
JZXN,Jiuzi Holdings Inc (XNAS:JZXN),$1.01 
LASE,LASER PHOTONICS CORPORATION (XNAS:LASE),$1.01 
PETZ,"TDH Holdings, Inc. (XNAS:PETZ)",$1.01 
TDIC,Dreamland Limited (XNAS:TDIC),$1.01 
CHAI,"CORE AI HOLDINGS, INC. (XNAS:CHAI)",$1.02 
CYCU,"CYCURION, INC. (XNAS:CYCU)",$1.02 
ELOG,Eastern International Ltd (XNAS:ELOG),$1.02 
FNGR,"FingerMotion, Inc. (XNAS:FNGR)",$1.02 
GNPX,"GENPREX, INC. (XNAS:GNPX)",$1.02 
HRTX,"HERON THERAPEUTICS, INC. (XNAS:HRTX)",$1.02 
SPWR,SUNPOWER INC. (XNAS:SPWR),$1.02 
STEX,STREAMEX CORP. (XNAS:STEX),$1.02 
VIOT,"VIOMI TECHNOLOGY CO., LTD (XNAS:VIOT)",$1.02 
HYFM,"HYDROFARM HOLDINGS GROUP, INC. (XNAS:HYFM)",$1.03 
JF,J and Friends Holdings Limited (XNAS:JF),$1.03 
JZ,Jianzhi Education Technology Group Co Ltd (XNAS:JZ),$1.03 
LGVN,Longeveron Inc. (XNAS:LGVN),$1.03 
SCYX,"SCYNEXIS, INC. (XNAS:SCYX)",$1.03 
VVOS,"VIVOS THERAPEUTICS, INC. (XNAS:VVOS)",$1.03 
GRAN,Grande Group Limited (XNAS:GRAN),$1.04 
IFBD,Infobird Co Ltd (XNAS:IFBD),$1.04 
PRSO,PERASO INC. (XNAS:PRSO),$1.04 
XCH,XCHG Limited (XNAS:XCH),$1.04 
ICON,ICON ENERGY CORP. (XNAS:ICON),$1.05 
IRIX,IRIDEX CORPORATION (XNAS:IRIX),$1.05 
UBXG,U-BX Technology Ltd. (XNAS:UBXG),$1.05 
BFRI,BIOFRONTERA INC. (XNAS:BFRI),$1.06 
DTSS,DATASEA INC. (XNAS:DTSS),$1.06 
QSI,QUANTUM-SI INCORPORATED (XNAS:QSI),$1.06 
YTRA,"YATRA ONLINE, INC. (XNAS:YTRA)",$1.06 
BYAH,Park Ha Biological Technology Co Ltd (XNAS:BYAH),$1.07 
LUCY,Innovative Eyewear Inc (XNAS:LUCY),$1.07 
ORIO,ORION DIGITAL CORP. (XNAS:ORIO),$1.07 
AMST,AMESITE INC. (XNAS:AMST),$1.08 
BGL,BLUE GOLD LIMITED (XNAS:BGL),$1.08 
MNDO,MIND C.T.I. LTD (XNAS:MNDO),$1.08 
OMH,Ohmyhome Limited (XNAS:OMH),$1.08 
SCAG,Scage Future (XNAS:SCAG),$1.08 
XHG,XCHANGE TEC.INC (XNAS:XHG),$1.08 
RIME,"ALGORHYTHM HOLDINGS, INC. (XNAS:RIME)",$1.09 
RKDA,"ARCADIA BIOSCIENCES, INC. (XNAS:RKDA)",$1.09 
ALZN,"ALZAMEND NEURO, INC. (XNAS:ALZN)",$1.10 
BYND,"BEYOND MEAT, INC. (XNAS:BYND)",$1.10 
HAO,Haoxi Health Technology Ltd (XNAS:HAO),$1.10 
SKYX,SKYX PLATFORMS CORP. (XNAS:SKYX),$1.10 
JDZG,JIADE LIMITED (XNAS:JDZG),$1.11 
